Nigeria;America;accede_to
China National Petroleum Corporation;Putin;oversee_by
Austria;SS;participate_in
Austria;Brussels;participate_in
Austria;Brussels;participate_in
Denmark;Brussels;participate_in
France;Brussels;participate_in
Germany;Brussels;participate_in
Greece;Brussels;participate_in
Italy;Brussels;participate_in
Netherlands;Brussels;participate_in
Spain;Brussels;participate_in
Gryzlov;Russian Security Council;participate_in
Gryzlov;GE;participate_in
United States;SS;pay
United States;Russia;pay
United States;SS;pay
United States;Russia;pay
United States;SS;pay
United States;Russia;pay
China;RT;pay_attention_to
Ukraine;SS;pay_for
Ukraine;Russia;pay_for
Putin;China;pay_visit_to
Senate;Kiev;pay_visit_to
SBU;RT;place_on
SBU;RT;place_on
Hague;Ukraine;play_role_in
Hague;Ukraine;play_role_in
Ukraine;Washington;point_finger_at
Tymoshenko;AP;point_to
Maidan;CIA;post_on
Obama;Kiev;praise
Obama;AP;praise
Obama;Kiev;praise
EU;Obama;press
EU;Obama;press
EU;Obama;press
EU;Obama;press
United States;France;press
Maidan;AP;prompt
Washington;Kiev;provide_aid_to
Moscow;SS;push
Moscow;Russia;push
Moscow;Russia;push
Germany;UN;push_for
Germany;United States;push_for
Levada Center;Putin;put
Levada Center;SS;put
Levada Center;Russia;put
OSCE;OSCE;put_forward
OSCE;OSCE;put_forward
Armed Forces;RT;put_on
Armed Forces;RT;put_on
RIA;Russia;quote
RIA;SS;quote
RIA;Russia;quote
AFP;GE;quote
AFP;SS;quote
AFP;France;quote
Holder;United States;quote
Holder;UN;quote
Kharkiv;GE;quote_as_say_by
Washington;Manila;raise
Washington;Manila;raise
Germany;Lenin;rally_around
Germany;RT;rally_around
Germany;UN;rally_around
Geneva;AP;reach_on
Geneva;AP;reach_on
Geneva;AP;reach_on
Geneva;AP;reach_on
Russia;AP;receive
EU;RT;redeploy
Bulgaria;EU;refer_to
Bulgaria;EU;refer_to
Russia;NYT;refrain_from
Ukraine;UN;refuse
Ukraine;Ukraine;refuse
Ukraine;GE;refuse
Ukraine;Ukraine;refuse
Ukraine;SS;refuse
Ukraine;Ukraine;refuse
Crimea;SS;refuse_to_receive
Crimea;Russia;refuse_to_receive
Korea;AP;release
Korea;RT;release
Korea;Korea;release
UN;Kiev;release_in
UN;Kiev;release_in
Crimea;SS;rely_on
Crimea;Solidarity;rely_on
Crimea;UN;rely_on
Russia;UN;remain
Maidan;Kiev;remain_in
Birnbaum;Moscow;report_from
Walsh;GE;report_from
Walsh;Andreevka;report_from
New York;Obama;report_on
Ukraine;SS;resume
Ukraine;Russia;resume
Kiev;Kiev;resume
Sevastopol;SS;return_to
Sevastopol;Russia;return_to
Sevastopol;Russia;return_to
Crimea;Russia;reunify_with
Crimea;Russia;reunify_with
Putin;China;s_visit_to
Naryshkin;Japan;s_visit_to
Naryshkin;AP;s_visit_to
Naryshkin;Japan;s_visit_to
Putin;China;s_visit_to
Putin;Beijing;s_visit_to
Rogozin;Moscow;say
State Department;Washington;say
Communist Party;Donetsk;say
Communist Party;Lugansk;say
State Department;Kerry;say
Kerry;Ethiopia;say
Kerry;RT;say
Kerry;Ethiopia;say
Sudan;Ethiopia;say
Kerry;Uganda;say
Lavrov;Russia;say
Lavrov;SS;say
Lavrov;Russia;say
Martin;UN;say
Rogozin;Moscow;say
Lavrov;Russia;say
Lavrov;SS;say
Lavrov;Russia;say
Steinmeier;Ukraine;say
Steinmeier;Ukraine;say
Foreign Ministry;EU;say
White House;Chemezov;say
White House;Putin;say
White House;UN;say
Novak;AP;say_in
Novak;AP;say_in
Fyodorov;AP;say_in
Donetsk;Horlivka;say_of
Donetsk;Horlivka;say_of
Donetsk;Horlivka;say_of
Donetsk;Horlivka;say_of
Deshchitsa;UN;say_on
Germany;UN;say_on
Foreign Ministry;UN;say_on
Breedlove;Putin;say_on
Breedlove;Putin;say_on
Breedlove;SS;say_on
Breedlove;Russia;say_on
Foreign Ministry;UN;say_on
Kupriyanov;AP;say_on
Avakov;AP;say_on
Foreign Ministry;GE;say_on
Foreign Ministry;NATO;say_on
Foreign Ministry;SS;say_on
Foreign Ministry;Russia;say_on
Amnesty International;Kiev;say_on
Russia;Britain;say_statement_issue_by
EU;Europe;see_as
EU;United States;see_rise_in
Russia;Crimea;seize
Russia;Crimea;seize
Kiev;Kiev;send
Kiev;Kiev;send
Kolomoysky;Kiev;send_from
Dnepropetrovsk;Kiev;send_from
Kolomoysky;Kiev;send_from
Kolomoysky;Kiev;send_from
Dnepropetrovsk;Kiev;send_from
Kolomoysky;Kiev;send_from
Lawrence;RT;send_in
Moscow;EU;send_letter_to
Moscow;Europe;send_letter_to
Lavrov;OSCE;send_letter_to
United States;Egypt;send_message_to
Reuters;Security Council;send_to
Reuters;UN;send_to
Ukrainian Security Service;SS;shoot_by
Central Europe;UN;show
OSCE;UN;show_interest_in
New York;UN;shut_down
New York;America;shut_down
Algeria;Algeria;shut_down
EU;Ukraine;sign
EU;SS;sign
EU;Brussels;sign
EU;Ukraine;sign
United States;EDCA;sign
Putin;Ukraine;sign
Putin;Ukraine;sign
Obama;AP;sign_in
Putin;Kharkiv;sign_law_on
Putin;CIA;sign_law_on
Putin;UN;sign_law_on
Putin;Kharkiv;sign_law_on
Putin;Kharkiv;sign_law_on
Putin;CIA;sign_law_on
Putin;UN;sign_law_on
Putin;Kharkiv;sign_law_on
Putin;CIA;sign_law_on
Putin;UN;sign_law_on
Geneva;SS;sign_with
Geneva;Russia;sign_with
Putin;Ukraine;slam
Putin;Kiev;slam
Putin;Moscow;slam
Putin;Ukraine;slam
India;China;spar_with
India;China;spar_with
Philippines;China;spar_with
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Yatsenyuk;AP;speak
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
Medvedev;Crimea;speak_about
